Name,Phone,E-mail,Address,Star Rating,Reviews,Business Activities,PostCode,URL
W&J Donald Services Ltd,07595544954,suzy@wjdonald.com,"12 Beechfield, Kings Langley, Hertfordshire, WD4 8EF",,,,AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=16955&aphcScheme=Licensed%20Scheme
Aircon 4 You Ltd,02039419494,info@aircon4you.co.uk,"Unit 9, Watford Enterprise Centre, 25 Greenhill Crescent, Watford Business Park, Bushey, WD18 8XU",5,13 ,"Renewables, Ventilation and air conditioning",AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17032&aphcScheme=Licensed%20Scheme
Organic Heating,07852833201,kevin@organicheating.uk,"74 Fulford Grove, Watford, WD19 7QG",5,6 ,"Heating systems and fossil fuel appliances, Plumbing Appliances, Hot Water Appliances, Renewables",AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17121&aphcScheme=Licensed%20Scheme
Homecure Plumbers,0203 504 4000,leedevs@gmail.com,"1st Floor 5 Century Court, Toltits Lane, Watford, WD18 9PX",4.1000,199 ,,AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=6525&aphcScheme=Licensed%20Scheme
The Plumbing Team Ltd,07487 556994,info@theplumbingteam.co.uk,"21 Station Close, Potters Bar, EN6 1TL",4.5,72 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances",AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17337&aphcScheme=Licensed%20Scheme
Barnes Oil Tank Services Ltd,,MARTIN@BARNESOILTANKS.CO.UK,"Hollow Hedge, Hollow Hedges Lane, Bovingdon, Hertfordshire, HP3 0PE",,,Heating systems and fossil fuel appliances,AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=3921&aphcScheme=Licensed%20Scheme
MTW-UK Ltd,0779 257 7654,mattwilkesmail@gmail.com,"238 Gosforth Lane, Watford, WD19 7PA",,,,AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=6469&aphcScheme=Licensed%20Scheme
DFB Heating Services,0759 007 3546,Dfbltd@yahoo.co.uk,"449 Uxbridge Road, Pinner, HA5 4JR",5,9 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Hot Water Appliances, Renewables",AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=8523&aphcScheme=Licensed%20Scheme
Village Heating Ltd,0208 102 9898,jaspreet@villageheating.co.uk,"333-335 High Road, Harrow Weald, Harrow, HA3 5EQ",3.6000,334 ,,AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=3279&aphcScheme=Licensed%20Scheme
Smart Energie Ltd,07946609079 Inderpreet,inder@smartenergie.co.uk,"9 Winsor & Newton Building, Whitefriars Ave, Harrow, MIDDLESSEX, HA35RN",4.4000,5 ,,AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17178&aphcScheme=Licensed%20Scheme
Haylo M&E Ltd,07542002089,info@haylogroup.com,"2 Orchard Grove, Harrow, HA8 5BH",,,"Heating systems and fossil fuel appliances, Hot Water Appliances, Renewables",AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17076&aphcScheme=Licensed%20Scheme
LPC Maintenance Ltd,0208 452 7397,support@lpcm.co.uk,"19 Cumberland Road, Stanmore, HA7 1EL",,,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Ventilation and air conditioning",AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=2978&aphcScheme=Licensed%20Scheme
Broits Heating & Plumbing Ltd,0208 203 3709,info@broits.com,"5 Sunny Gardens Parade, London, NW4 1JA",5,4 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Ventilation and air conditioning",AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=2972&aphcScheme=Licensed%20Scheme
Peter Brown Plumbing & Heating,0208 863 1155,pete@peterbrown.net,"Unit 3, 29-31 Frognal Avenue, Harrow, HA1 2SG",4.9000,38 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Renewables, Ventilation and air conditioning",AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=2968&aphcScheme=Licensed%20Scheme
Stagg Property Services Ltd,01438 712 712,info@stagg.plumbing,"1 Swallow Court, Swallowfields, Welwyn Garden City, AL7 1SB",4.5,4 ,"Heating systems and fossil fuel appliances, Plumbing Appliances, Hot Water Appliances",AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=2692&aphcScheme=Licensed%20Scheme
MRC Plumbing and Heating Ltd,0795 638 5691,morris@mrc-plumbing.com,"Flat 13, Lakeside Lodge, 131 Bridge Lane, London, NW11 9LA",4,3 ,,AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=3615&aphcScheme=Licensed%20Scheme
Marvel Building Solutions Ltd,07950945822,Marvelbuildingsolutionsltd@gmail.com,"69 Hirst Crescent, Wembley, Middlesex, HA9 7HB",,,,AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17292&aphcScheme=Licensed%20Scheme
EW Jenkins & Son,01494 783 442,stevejenkins.sparks@btinternet.com,"17 Codmore Crescent, Chesham, HP5 3LX",,,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Ventilation and air conditioning",AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=3037&aphcScheme=Licensed%20Scheme
CME Heating Ltd,07947 353 975,luke.biswell@cmeheating.co.uk,"9 Alton Road, Luton, LU1 3NS",4.3000,3 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Renewables, Ventilation and air conditioning",AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=3538&aphcScheme=Licensed%20Scheme
Callthor Plumbers Ltd,0208 795 0796,dbcallow20@hotmail.com,"11 Rosewood Avenue, Greenford, UB6 7QP",5,14 ,"Heating systems and fossil fuel appliances, Plumbing Appliances, Hot Water Appliances",AL2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=3308&aphcScheme=Licensed%20Scheme
Evolution Plumbing & Heating Group Ltd,07803563273,adam@evolutionplumbingltd.co.uk,"59 Beaconsfield Road, London, SE9 4DS",5,11 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Renewables, Ventilation and air conditioning",BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17232&aphcScheme=Licensed%20Scheme
Reliable Plumbing Services,07780 607 367,enquiry@reliableplumbingservices.co.uk,"30c Magpie Hall Lane, Bromley, BR2 8EH",5,6 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances",BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=3886&aphcScheme=Licensed%20Scheme
VI Hains Plumbing & Gas Services Ltd,0208 285 1448,vihainspgs@gmail.com,"14 Inchmery Road, Catford, London, SE6 2NE",,,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Renewables",BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=9429&aphcScheme=Licensed%20Scheme
D N Heating Services Ltd,07930228937,dnheatingservices@gmail.com,"274 Casterbridge Road, Blackheath, SE3 9AF",,,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Ventilation and air conditioning",BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=10351&aphcScheme=Licensed%20Scheme
Logical Heating & Plumbing Solutions Ltd,0208 664 9099,info@lhps.co.uk,"4 Oak Grove Road, London, SE20 7RQ",4.2000,45 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Ventilation and air conditioning",BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=7360&aphcScheme=Licensed%20Scheme
GC Maintenance Ltd,07497 763082,Info@gcmaintenance.co.uk,"35 Hayswood Avenue, Bromley, BR2 7BG",,,,BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=14174&aphcScheme=Licensed%20Scheme
Rightway Plumbing & Heating Ltd,07888827567,rytis.civas@googlemail.com,"11 Darwin Road, Welling, DA16 2EQ",5,1 review,,BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17176&aphcScheme=Licensed%20Scheme
Reliable Assured Services,07837590348,gegopang@yahoo.co.uk,"18 Shinner's Close, London, SE25 5JP",,,,BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17407&aphcScheme=Licensed%20Scheme
Adam Daniel Ltd T/a Cliden Construction Ldn,07791 074843,adam@cliden-construction.co.uk,"37 Arcadian Avenue, Bexley, DA5 1JN",,,,BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17244&aphcScheme=Licensed%20Scheme
BC Hughes Plumbing and Heating Ltd,07841034899,Ben@bchughesplumbingandheating.co.uk,"25 Winchester Road, Bexleyheath, DA7 4TX",,,,BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=16938&aphcScheme=Licensed%20Scheme
J&J Heating & Plumbing,0208 304 7814,chris.jepp@yahoo.co.uk,"37 St. Audrey Avenue, Bexleyheath, DA7 5DA",4.9000,29 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances",BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=2957&aphcScheme=Licensed%20Scheme
KP Plumbing,0750 611 2500,kevin_placide@hotmail.com,"30 Pettacre Close, London, SE28 0AN",5,2 ,,BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=6476&aphcScheme=Licensed%20Scheme
Electrical & Mechanical Services (UK) Limited,02080909253,gerard.brennecke@emsuk.net,"Unit 65.1 Sienna, White Hart Triangle, Thamesmead, London, SE28 0GW",5,1 review,,BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17157&aphcScheme=Licensed%20Scheme
Expert Heating Solutions Ltd,07446163248,Razvanbalint33@gmail.com,"Marston, Stonehouse Road, Halstead,, Sevenoaks, TN14 7HW",,,,BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17169&aphcScheme=Licensed%20Scheme
S & R Plumbing & Maintenance Ltd,0207 525 9647,sean@sandrltd.co.uk,"Flat 23, Barry House, Rennie Estate, Southwark, SE16 3PH",4,1 review,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Ventilation and air conditioning",BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=4023&aphcScheme=Licensed%20Scheme
Dalkia Operations Ltd,0141 613 7400,jim.martin@spie.com,"30 Churchill Place, London, E14 5RE",,,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Renewables, Ventilation and air conditioning",BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=2975&aphcScheme=Licensed%20Scheme
South Thames Gas,0207 326 5239,sales@souththamesgas.co.uk,"62 Railton Road, Herne Hill, Lambeth, SE24 0LF",3.2000,5 ,,BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=3766&aphcScheme=Licensed%20Scheme
Walsh & Son Ltd,07946609611,Info@walshandsonltd.co.uk,"57 Hopton Road, Streatham, London, SW16 2EL",,,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Renewables",BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=13265&aphcScheme=Licensed%20Scheme
RPM Services Ltd,0208 680 1286,johnrussell@rpmservicesltd.co.uk,"6 Bridge Parade, Waddon Road, Croydon, CR0 4JH",,,"Heating systems and fossil fuel appliances, Plumbing Appliances, Hot Water Appliances, Ventilation and air conditioning",BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=3445&aphcScheme=Licensed%20Scheme
P & P Plumbing and Heating Services Ltd,07896 220414,elaudas@hotmail.com,"5 Kingfisher Street, London, E6 5JZ",5,2 ,"Heating systems and fossil fuel appliances, Plumbing Appliances, Hot Water Appliances, Renewables, Ventilation and air conditioning",BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=16988&aphcScheme=Licensed%20Scheme
R L Crafter & Co Ltd,01883627744,carla@rlcrafter.com,"50A The Green, Warlingham, CR6 9NA",,,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Renewables, Ventilation and air conditioning",BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17283&aphcScheme=Licensed%20Scheme
Stanmore Contractors Ltd,07787 667719,Mike.shaw@malcolmbuildingservices.co.uk,"Stanmore House, Gyproc Business Park, Church Manorway, Erith, DA8 1DE",4.6000,43 ,,BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17128&aphcScheme=Licensed%20Scheme
NP Trade Ltd,07970027917,Peterhulston@gmail.com,"10 Drewstead Road, Streatham Hill, London, SW16 1AB",,,,BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17221&aphcScheme=Licensed%20Scheme
IZ Energy Services Ltd,02085941117,sales@izenergy.co.uk,"Unit 2 & 3, Muirhead Quay, Fresh Wharf Estate, Barking, IG11 7BG",4.1000,79 ,,BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17294&aphcScheme=Licensed%20Scheme
ADF Mechanical Service Ltd,07891 214472,adfmechanicalservices@gmx.co.uk,"18 The Pines, Purley, CR8 2DZ",5,3 ,,BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=3294&aphcScheme=Licensed%20Scheme
Marvellous Property Services Ltd,07960 794333,enquiries@marvellouspropertyservices.co.uk,"Office 881, 182-184 High Street North, London, E6 2JA",,,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Renewables",BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=15956&aphcScheme=Licensed%20Scheme
Maintracts Services Ltd,0208 682 2244,info@maintracts.co.uk,"Suite B201 Trident Business Centre, 89 Bickersteth Road, London, SW17 9SH",4.9000,622 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances",BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=2998&aphcScheme=Licensed%20Scheme
Nico Sabatini Ltd T/a White and Blue Plumbing Solutions,07507 719191,whiteandblue.plumbing@gmail.com,"173 Park South, Austin Road, London, SW11 5JN",5,23 ,,BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17240&aphcScheme=Licensed%20Scheme
Heatversity Ltd,07515414778,kalin@heatversity.co.uk,"21A Ruskin Road, Carshalton, SM5 3DD",,,,BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17198&aphcScheme=Licensed%20Scheme
Interheat Heating Gas & Plumbing Engineers,0208 669 8952,hattonheating@live.co.uk,"19 Anglesey Gardens, Carshalton, SM5 3JD",4,4 ,"Heating systems and fossil fuel appliances, Plumbing Appliances, Hot Water Appliances, Renewables",BR1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=2970&aphcScheme=Licensed%20Scheme
LC Installations London Ltd,07902 123123,luke@lcilimited.co.uk,"1-2 The Grange, High Street, Westerham, TN16 1AH",,,,BR2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17039&aphcScheme=Licensed%20Scheme
A1 Home Services Ltd,0208 668 7071,a1hs@hotmail.co.uk,"27 The Vale, Coulsdon, CR5 2AU",3.7000,3 ,,BR2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=6516&aphcScheme=Licensed%20Scheme
Albatross Heating Ltd,07940 461797,fred@albatrossheating.com,"Moorhouse Park, Westerham, TN16 2EU",,,,BR2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17211&aphcScheme=Licensed%20Scheme
H&V Serviceplan Ltd,01883 345 553,alancoldwell@hvserviceplan.co.uk,"62 High Street, Caterham, CR3 5UB",,,"Heating systems and fossil fuel appliances, Plumbing Appliances, Hot Water Appliances, Ventilation and air conditioning",BR2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=3047&aphcScheme=Licensed%20Scheme
Surrey Environmental Maintenance Ltd,02034 750 999,admin@semfacilities.co.uk,"19 Timberlane, Caterham, CR3 6LZ",,,"Heating systems and fossil fuel appliances, Plumbing Appliances, Hot Water Appliances, Ventilation and air conditioning",BR2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=2993&aphcScheme=Licensed%20Scheme
Soto Plumbing & Heating Ltd,07943 941291,info@sotosolution.co.uk,"71-75 Shelton Street, Covent Garden, London, WC2H 9JQ",5,19 ,,BR3,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17248&aphcScheme=Licensed%20Scheme
Harveys Plumbing & Heating,01322 557 000,mail@harveys1.co.uk,"Iolanthe, Southfleet Road, Bean, Dartford, DA2 8BS",5,3 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances",BR5,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=2958&aphcScheme=Licensed%20Scheme
Millennium Plumbing & Heating Ltd,07784 365220,mphltd@hotmail.com,"140 Cherry Tree Lane, Rainham, RM13 8TS",4.7000,11 ,,BR5,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=12367&aphcScheme=Licensed%20Scheme
Heatswap Ltd,07742649014,info@heatswap.co.uk,"65 Thackeray Drive, Kent, DA11 8FS",,,,BR5,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17250&aphcScheme=Licensed%20Scheme
Advanced Professional Plumbing & Heating Services Ltd,01708 522666,advancedheating@hotmail.co.uk,"39 Upminster Road, Rainham, Essex, RM13 9YS",3.4000,22 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Renewables, Ventilation and air conditioning",BR5,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17213&aphcScheme=Licensed%20Scheme
Urban Environments Ltd,07469158299,peter@urbanenvironments.co.uk,"Unit 16, St Julians, Sevenoaks, TN15 0RX",3,3 ,,BR6,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17238&aphcScheme=Licensed%20Scheme
Pegrum Ltd,01732 463 256,office@pegrum.net,"Unit 12 Gaza Trading Estate, Scabharbour Road, Hildenborough, Tonbridge, TN11 8PL",3.4000,5 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Renewables",BR6,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=3379&aphcScheme=Licensed%20Scheme
Dyno-Logini Plumbing & Heating Services Ltd,0208 478 0030,Mehnaz.Hashim@dynoeastlondon.com,"Unit 6, Redbridge Enterprise Centre, Thompson Close, Ilford, IG1 1TY",2.2000,17 ,,BR7,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=4035&aphcScheme=Licensed%20Scheme
Fridays Plumbing & Heating Ltd,01474 321444,accounts@fridaysplumbing.co.uk,"St James House, 6-8 Overcliffe, Gravesend, DA11 0EF",5,1 review,,BR8,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=16966&aphcScheme=Licensed%20Scheme
HW Wilson Ltd,01708 859 730,Louise.collard@hwwilsonltd.com,"14 North Road, South Ockendon, RM15 6QL",4,9 ,"Heating systems and fossil fuel appliances, Plumbing Appliances, Hot Water Appliances",BR8,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=3771&aphcScheme=Licensed%20Scheme
ODM Services Ltd,01474 630036,info@odmservices.co.uk,"Unit 9 May Avenue, Northfleet, DA11 8RU",4.7000,12 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Renewables, Ventilation and air conditioning",BR8,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17367&aphcScheme=Licensed%20Scheme
K Wagstaff & Sons Ltd,01708 442 173,garry@wagstaffheating.co.uk,"136-138 Upminster Road, Hornchurch, RM12 6PH",4.3000,50 ,"Heating systems and fossil fuel appliances, Plumbing Appliances, Hot Water Appliances, Renewables",BR8,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=5552&aphcScheme=Licensed%20Scheme
Harold Handy Ltd,07958117886,haroldhandyltd@gmail.com,"71 Penrith Road, Romford, RM3 9NJ",5,5 ,,CM13,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=15917&aphcScheme=Licensed%20Scheme
Avis Mechanical Ltd,01277 811888,catherine@avis-group.co.uk,"Unit 11 Chancerygate, Tallon Road, Brentwood, Essex, CM13 1TE, Brentwood, CM13 1TE",5,2 ,,CM13,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17253&aphcScheme=Licensed%20Scheme
JB Plumbing & Gas Services Ltd,01708 743 441,info@jbplumbing.biz,"464 Mawney Road, Romford, RM7 8QB",5,5 ,"Heating systems and fossil fuel appliances, Plumbing Appliances, Hot Water Appliances",CM13,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=3407&aphcScheme=Licensed%20Scheme
PPSL Ltd,01268 710 694,accounts@ppslltd.co.uk,"Wyoming, Church Road, Billericy, CM11 1PW",,,"Heating systems and fossil fuel appliances, Plumbing Appliances, Hot Water Appliances, Renewables",CM13,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=6512&aphcScheme=Licensed%20Scheme
Romford Emergency Plumber Ltd,07939 558021,info@romfordemergencyplumber.co.uk,"22 Latchwood Avenue, Collier Row, Romford, RM5 2QJ",4.9000,189 ,,CM13,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=6496&aphcScheme=Licensed%20Scheme
D Walker Mechanical Services Ltd,07866489221,dan@dwmservices.co.uk,"Unit 10, York House, Langstone Road, Loughton, IG10 3TQ",,,,CM13,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=16991&aphcScheme=Licensed%20Scheme
TDK Mechanical Services UK Ltd,0207 482 5278,thomas@tdk-mes-london.co.uk,"c/o Moletrap, Tawney Common, CM16 7PU",,,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Renewables, Ventilation and air conditioning",CM13,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=3675&aphcScheme=Licensed%20Scheme
London MEP Group,0203 928 7079,adamfarressnoble@londonmep.co.uk,"7th Floor, Landmark House, 1 The Broadway, Loughton, IG10 2FA",5,1 review,,CM13,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=16967&aphcScheme=Licensed%20Scheme
ST Plumbing,07836 745196,s.tabersham@outlook.com,"3 Spring Gardens, Woodford Green, IG8 7DD",5,2 ,"Heating systems and fossil fuel appliances, Plumbing Appliances, Hot Water Appliances",CM13,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=2985&aphcScheme=Licensed%20Scheme
ECO4 Ltd,07549997734,mail@eco4ltd.co.uk,"16 Summit Drive, Woodford Green, Essex, London, IG8 8QP",4.7000,16 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Renewables, Ventilation and air conditioning",CM13,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17186&aphcScheme=Licensed%20Scheme
FixedFast Ltd,01245 631 000,mark.french@fixedfast.co.uk,"63 Oak Lodge Tye, Springfield, Chelmsford, CM1 6GY",5,2 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Renewables, Ventilation and air conditioning",CM13,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=3574&aphcScheme=Licensed%20Scheme
SE Plumbing Services,07771656944,steve@seplumbingservices.co.uk,"1 Trevor Road, Woodford Green, IG8 9AJ",,,,CM13,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=15936&aphcScheme=Licensed%20Scheme
Heatline Plumbing Services Ltd,07908097112,heatlineplumbing@outlook.com,"31 Parkway, Sawbridgeworth, CM21 9NR",5,13 ,,CM14,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17140&aphcScheme=Licensed%20Scheme
MCS Plumbing and Heating Ltd,07876540779,mcsplumbing@hotmail.co.uk,"230 Malkin Drive, Harlow, CM17 9HY",4.3000,29 ,"Heating systems and fossil fuel appliances, Plumbing Appliances, Hot Water Appliances",CM14,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17049&aphcScheme=Licensed%20Scheme
