Title,Article Id,Date,Category,Has Audio,Summary,URL
A Wall Of Poppies On The National Mall Honors Fallen Soldiers,614703098,"May 26, 2018",News,False,"A girl visits The Poppy Memorial, a wall of 645,000 poppy flowers to honor the service members who have died since World War I. The USAA made the memorial that stands on the National Mall.",https://www.npr.org/2018/05/26/614703098/a-wall-of-poppies-honors-fallen-soldiers-on-the-national-mall
"Seeking Closure, An Effort To Repatriate Remains Of U.S. Vets Killed In Korean War",633686761,"July 29, 2018",News,True,"North Korea has given the U.S. 55 small coffins believed to hold the remains of Americans killed in the Korean War. Michel Martin talks to Rick Downes, who's been working to have the dead repatriated.",https://www.npr.org/2018/07/29/633686761/seeking-closure-an-effort-to-repatriate-remains-of-u-s-vets-killed-in-korean-war
Bikers From Across America Ride To Remember Soldiers 'Unaccounted For',614838509,"May 27, 2018",News,False,Rolling Thunder seeks to bring full accountability for all U.S. prisoners of war and missing in action (POW/MIA) soldiers.,https://www.npr.org/sections/thetwo-way/2018/05/27/614838509/bikers-from-across-america-ride-to-remember-soldiers-unaccounted-for
Possible U.S. Remains Turned Over By North Korea Arrive In Hawaii For Analysis,634623408,"August 1, 2018",News,False,"Military members carry transfer cases from a C-17 at a ceremony marking the arrival of the remains believed to be of American service members who fell in the Korean War at Joint Base Pearl Harbor-Hickam in Hawaii, on Wednesday.",https://www.npr.org/2018/08/01/634623408/possible-u-s-remains-turned-over-by-north-korea-head-to-hawaii-for-analysis
"An Iraq Veteran, Heroin Addict, Bank Robber And Debut Novelist",638218702,"August 13, 2018",News,True,Nico Walker wrote his semi-autobiographical novel,https://www.npr.org/2018/08/13/638218702/an-iraq-veteran-heroin-addict-bank-robber-and-debut-novelist
Civil War Battlefield 'Limb Pit' Reveals Work Of Combat Surgeons ,620394034,"June 20, 2018",News,True,A pit of amputated limbs and two nearly complete skeletons that date back to the Civil War were discovered at Manassas National Battlefield Park in Virginia. Scientists at the Smithsonian Institution's National Museum of Natural History have been analyzing the bones to learn more about them and to whom they may have belonged.,https://www.npr.org/sections/health-shots/2018/06/20/620394034/civil-war-battlefield-limb-pit-reveals-work-of-combat-surgeons
"In 'Waiting For Eden,' Grief With No Guarantee Of Closure",651259373,"September 25, 2018",News,True,Your purchase helps support NPR programming.,https://www.npr.org/2018/09/25/651259373/in-waiting-for-eden-grief-with-no-guarantee-of-closure
"Kansas City, Mo., Mayoral Hopeful Withdraws From Race Citing PTSD",653870927,"October 2, 2018",News,False,"Jason Kander addresses a rally last year. He withdrew from the race for mayor of Kansas City, Mo., on Tuesday, saying he suffered from PTSD related to his military service in Afghanistan.",https://www.npr.org/2018/10/02/653870927/kansas-city-mo-mayoral-hopeful-withdraws-from-race-citing-ptsd
A fatal mistake: The truth behind a Marine Corps lie and broken promises,1166936838,"April 13, 2023",News,True,"U.S. Marine Corps Lance Cpls. Chris Covington (left) and Carlos Gomez Perez recover from shrapnel and bullet wounds on April 27, 2004, after Iraqi insurgents attacked near Fallujah, Iraq. Just two weeks earlier, Covington and Gomez Perez helped evacuate wounded Marines and soldiers after a deadly explosion rocked a schoolhouse in Fallujah.",https://www.npr.org/2023/04/07/1166936838/fallujah-iraq-pentagon-marines-investigation
Many people living in the 'Diabetes Belt' are plagued with medical debt,1173439205,"May 9, 2023",News,True,"Delores Lowery was diagnosed with diabetes in 2016. Her home in Marlboro County, S.C., is at the heart of what the Centers for Disease Control and Prevention calls the Diabetes Belt.",https://www.npr.org/2023/05/09/1173439205/medical-debt-diabetes-rate
Disability groups claim California's assisted suicide law discriminates against them,1171934753,"April 27, 2023",News,True,"For some with disabilities, the pandemic raised fears that they couldn't get medical care they need. Now, groups are saying California's assisted suicide law also devalues their lives, and they have filed a lawsuit.",https://www.npr.org/2023/04/27/1171934753/disability-groups-claim-californias-assisted-suicide-law-discriminates-against-t
The U.S. told them terrorists killed their brother. It was a lie they held for years,1177879434,"May 28, 2023",News,False,"Vendors sell various goods to shoppers at ""the Thieves' Market"" in Baghdad.",https://www.npr.org/2023/05/28/1177879434/fallujah-iraq-marines-friendly-fire
Virginia hid execution files from the public. Here's what they don't want you to see,1174343605,"May 11, 2023",News,True,"A former Virginia Department of Corrections employee donated hundreds of execution documents, including these photographs, to the Library of Virginia more than a decade ago. NPR is now exclusively publishing a selection of the documents.",https://www.npr.org/2023/05/11/1174343605/virginia-hid-execution-files-from-the-public-heres-what-they-dont-want-you-to-se
The far right's growing influence and 4 other takeaways from NPR's ERIC investigation,1180630924,"June 7, 2023",News,True,"Cleta Mitchell speaks at a conference in Camp Hill, Pa., on April 1, 2022. The influential conservative attorney helped former President Donald Trump as he sought to overturn the 2020 election. She's now working to dismantle ERIC.",https://www.npr.org/2023/06/07/1180630924/takeaways-npr-eric-investigation-voter-data-election-integrity
Coastal biomedical labs are bleeding more horseshoe crabs with little accountability,1180761446,"June 30, 2023",News,True,"Horseshoe crabs are bled at a facility in Charleston, S.C., in June 2014.",https://www.npr.org/2023/06/10/1180761446/coastal-biomedical-labs-are-bleeding-more-horseshoe-crabs-with-little-accountabi
How the far right tore apart one of the best tools to fight voter fraud,1171159008,"June 6, 2023",News,True,"The Electronic Registration Information Center, or ERIC, has for years operated as a bipartisan success story in election administration. But since early 2022, the far right has targeted ERIC, fracturing a partnership that had 32 member states at its height. Eight states where Republicans oversee voting have so far pulled out.",https://www.npr.org/2023/06/04/1171159008/eric-investigation-voter-data-election-integrity
A 'shocking' 911 call and other key takeaways from NPR's ICE detention investigation,1195264716,"August 24, 2023",News,False,"Immigrants in the custody of U.S. Immigration and Customs Enforcement (ICE) use the phones at a detention center in California in 2019. Secret government reports obtained by NPR described ""negligent,"" ""barbaric"" and ""filthy"" conditions in ICE detention.",https://www.npr.org/2023/08/24/1195264716/a-shocking-911-call-and-other-key-takeaways-from-nprs-ice-detention-investigatio
Coal miners would be protected from black lung disease under proposed silica rule,1185524447,"July 4, 2023",News,False,"Retired coal miner John Robinson, who suffers from black lung disease, displays his mining helmet at his home in Coeburn, Va., in 2019.",https://www.npr.org/2023/07/04/1185524447/coal-miners-would-be-protected-from-black-lung-disease-under-proposed-silica-rul
"For election workers, Trump's lies have meant threats, harassment and a poisoned dog",1180818978,"June 28, 2023",News,True,Dede Murphy and other local election workers say members of an election denier group camped out in the hallways of their county building and yelled in their faces. Some say they were followed home or put in physical danger. Election workers across 22 states tell NPR they've received threats or felt unsafe doing their jobs.,https://www.npr.org/2023/06/21/1180818978/election-workers-are-facing-threats-and-harassment-as-they-brace-for-2024
Vaccines are still tested with horseshoe crab blood. The industry is finally changing,1200620535,"September 23, 2023",News,True,"Horseshoe crabs are bled alive at a facility in Charleston, S.C., in June 2014.",https://www.npr.org/2023/09/23/1200620535/vaccines-are-still-tested-with-horseshoe-crab-blood-the-industry-is-finally-chan
These kids used to get the bill for their own foster care. Now that's changing,1197610205,"September 12, 2023",News,True,"Teresa Casados runs New Mexico's Children, Youth & Families Department. She discovered the state had been taking the Social Security checks of children in foster care — children who got the benefits because they were orphaned or disabled.",https://www.npr.org/2023/09/12/1197610205/foster-care-social-security-benefits
1 in 4 inmate deaths happens in the same federal prison. Why?,1200626103,"September 23, 2023",News,True,"A photo of Jeffrey Ramirez is seen at his parents' home in Vista, California. He was diagnosed with cancer while in prison and died at age 41.",https://www.npr.org/2023/09/23/1200626103/federal-prison-deaths-butner-medical-center-sick-inmates
Senators to VA: Stop needless foreclosures on thousands of veterans,1213219040,"November 15, 2023",News,False,"Army veteran Raymond Queen stands with his wife Rebecca Queen outside their home in Bartlesville, Okla.",https://www.npr.org/2023/11/15/1213219040/senators-to-va-stop-needless-foreclosures-on-thousands-of-veterans
ICE releases investigation into immigrant's death after months of 'inexcusable' delay,1211316303,"November 8, 2023",News,True,"The Aurora ICE Processing Center in Colorado currently holds more than 600 immigrant detainees on behalf of the federal government. The facility is operated by GEO Group, a for-profit government contractor.",https://www.npr.org/2023/11/08/1211316303/ice-releases-investigation-into-immigrants-death-after-months-of-inexcusable-del
Will the VA stop thousands of veterans from losing their homes? ,1211855956,"November 16, 2023",News,True,"Army veteran Ray Queen stands with his wife, Rebecca Queen, outside their home in Bartlesville, Okla. An NPR investigation has found that thousands of U.S. military service members and veterans, including the Queen family, are at risk of losing their homes through no fault of their own.",https://www.npr.org/2023/11/11/1211855956/veterans-va-loans-foreclosure-covid-forbearance
Only 51 of these U.S. whales remain. Little has been done to prevent their extinction,1212690111,"November 16, 2023",News,True,Rice's whales are one of the most recently discovered whale species in the world — and already one of the most endangered. But protections for the Gulf of Mexico species have been repeatedly delayed.,https://www.npr.org/2023/11/16/1212690111/only-51-of-these-u-s-whales-remain-little-has-been-done-to-prevent-their-extinct
VA halts foreclosures for thousands of veterans about to needlessly lose their homes,1213930706,"November 17, 2023",News,True,The Department of Veterans Affairs is halting foreclosures for 6 months for veterans and servicemembers who have VA Loans.,https://www.npr.org/2023/11/17/1213930706/va-halts-foreclosures-veterans
"Wray warns of increased terrorist threat, says U.S. is in a 'dangerous period'",1209699057,"October 31, 2023",News,False,"FBI Director Christopher Wray testifies before the House Homeland Security Committee on Nov. 15, 2022.",https://www.npr.org/2023/10/31/1209699057/wray-warns-of-increased-terrorist-threat-says-u-s-is-in-a-dangerous-period
New accounts of abuse at federal prison prompt renewed calls for investigation ,1186143929,"July 6, 2023",News,True,"The federal prison complex in Thomson, Ill.",https://www.npr.org/2023/07/06/1186143929/new-accounts-of-abuse-at-federal-prison-prompt-renewed-calls-for-investigation
More Americans say they support political violence ahead of the 2024 election,1208373493,"October 25, 2023",News,False,"In this file photo, a member of the Proud Boys, right, stands in front of a counter protester as members of the Proud Boys and other right-wing demonstrators rally on Sept. 26, 2020.",https://www.npr.org/2023/10/25/1208373493/political-violence-democracy-2024-presidential-election-extremism
"Freeing hostages, hosting Hamas: Qatar's influence in Israel-Gaza war, explained",1210110109,"November 2, 2023",News,True,"People walk along a street as a plume of smoke rises in the background during an Israeli strike on the Bureij refugee camp in the Gaza Strip on Thursday, as battles between Israel and the Palestinian Hamas movement continue.",https://www.npr.org/2023/11/02/1210110109/qatar-israel-gaza-hamas-war
"House approves aid package for Israel, but not for Ukraine",1210386678,"November 3, 2023",News,False,"Speaker of the House Mike Johnson, R-La., center, joined by, from left, Majority Whip Tom Emmer, R-Minn., and Republican Conference Chairperson Elise Stefanik, R-N.Y., talks with reporters ahead of the debate and vote on supplemental aid to Israel, at the Capitol in Washington, Thursday, Nov. 2, 2023.",https://www.npr.org/2023/11/03/1210386678/house-approves-military-aid-israel
Young progressive Democrats are splitting from the party on Israel,1209789324,"November 1, 2023",News,True,"Demonstrators rally to demand a cease-fire against Palestinians in Gaza on Independence Avenue near the U.S. Capitol last month in Washington, D.C.",https://www.npr.org/2023/11/01/1209789324/democrats-israel-palestinians-progressive-foreign-policy
Satellites and social media offer hints about Israel's ground war strategy in Gaza ,1210326996,"November 3, 2023",News,False,Loading...,https://www.npr.org/2023/11/03/1210326996/one-week-into-israels-ground-war-in-gaza-satellites-and-socialf-media-give-hints
U.S. launches airstrike in Syria in response to attacks by Iranian-backed militias,1211722688,"November 9, 2023",News,False,"Defense Secretary Lloyd Austin testifies before a Senate Appropriations Committee on Capitol Hill in Washington, Oct. 31, 2023.",https://www.npr.org/2023/11/09/1211722688/us-launches-airstrike-on-site-in-syria-in-response-to-attacks
"More medical gloves are coming from China, as U.S. makers of protective gear struggle",1198434566,"November 3, 2023",News,True,"A worker inspects disposable gloves at a factory in Malaysia, a country that has been the top supplier of medical gloves to the U. S. and which is facing increasing competition from China.",https://www.npr.org/sections/health-shots/2023/11/03/1198434566/medical-gloves-china-u-s-makers-personal-protective-gear-struggle
A Ukrainian missile strike on a shipyard in Crimea damages a Russian ship,1210758039,"November 5, 2023",News,False,"Ukrainian National Guard soldiers fire a recoilless cannon during combat training at a military training ground in northern Ukraine on Friday, Nov. 3, 2023.",https://www.npr.org/2023/11/05/1210758039/a-ukrainian-missile-strike-on-a-shipyard-in-crimea-damages-a-russian-ship
5 U.S. service members were killed in a helicopter crash during a training exercise,1212558529,"November 12, 2023",News,True,"Military personnel of the U.S. Army's 101st Airborne Division take off with a Black Hawk helicopter during a demonstration drill at Mihail Kogalniceanu Airbase near Constanta, Romania on July 30, 2022. A Black Hawk helicopter crashed over the weekend in the Mediterranean Sea.",https://www.npr.org/2023/11/12/1212558529/us-army-helicopter-crash-mediterranean
Biden and China's Xi will meet next week. Don't expect it to be a game changer,1209741905,"November 10, 2023",News,False,"U.S. President Joe Biden and China's President Xi Jinping are shown meeting on the sidelines of the G20 Summit in Nusa Dua on the Indonesian resort island of Bali on November 14, 2022.",https://www.npr.org/2023/11/10/1209741905/biden-and-chinas-xi-will-meet-next-week-dont-expect-it-to-be-a-game-changer
"Did Biden and China's Xi hit a reset? Not quite, but they did agree on a few things",1213401317,"November 16, 2023",News,False,"U.S. President Joe Biden greets China's President President Xi Jinping at the Filoli Estate in Woodside, Calif., Wednesday, Nov, 15, 2023, on the sidelines of the Asia-Pacific Economic Cooperative conference.",https://www.npr.org/2023/11/16/1213401317/did-biden-and-chinas-xi-hit-a-reset-not-quite-but-they-did-agree-on-a-few-things
The U.S. has special rules for satellites over one country: Israel,1212889717,"November 16, 2023",News,False,"A satellite view shows smoke along the Gaza-Israel border on Oct. 7 in an image combining natural with shortwave-infrared highlights. The image came from a Copernicus Sentinel satellite run, by the EU space program.",https://www.npr.org/2023/11/16/1212889717/satellite-images-us-israel-gaza
Biden and Xi are meeting for the first time in a year. Here are 5 things to watch,1212584833,"November 15, 2023",News,False,"President Biden greets China's leader Xi Jinping at the Filoli Estate in Woodside, Calif., on Nov. 15.",https://www.npr.org/2023/11/14/1212584833/biden-and-xi-are-meeting-for-the-first-time-in-a-year-here-are-5-things-to-watch
"As threats against Jews, Arabs and Muslims rise, Justice Department looks to help",1213787115,"November 17, 2023",News,True,"Police and security stand outside the Center for Jewish Living at Cornell University on Nov. 3 in Ithaca, New York. The university canceled classes after one of its students is accused of making violent antisemetic threats.",https://www.npr.org/2023/11/16/1213787115/doj-is-working-to-protect-jewish-muslim-and-arab-communities-from-spike-in-threa
"All 9 aboard U.S. Navy plane that overshot runway escape injury, Hawaii official says",1214320644,"November 20, 2023",News,False,"This photo provided by Diane Dircks shows a U.S. Navy plane that overshot a Marine base on Kaneohe Bay, Hawaii, Monday, Nov. 20, 2023. An official says all nine people aboard the plane have escaped injury.",https://www.npr.org/2023/11/20/1214320644/navy-plane-hawaii-bay-overshoots-runway
The Legacy of Henry Kissinger,1198909375,"November 30, 2023",News,True,Former U.S. Secretary of State Henry Kissinger in 2008 at the Woodrow Wilson Center's inauguration of the Kissinger Institute on China and the U.S.,https://www.npr.org/2023/11/30/1198909375/consider-this-from-npr-draft-11-30-2023
"Where the Republican presidential candidates stand on Israel, Ukraine and China",1215700614,"November 29, 2023",News,False,"From left to right, top: former U.N. Ambassador Nikki Haley, former President Donald Trump, former New Jersey Gov. Chris Christie. From left to right, bottom:  Florida Gov. Ron DeSantis, North Dakota Gov. Doug Burgum and Vivek Ramaswamy.",https://www.npr.org/2023/11/29/1215700614/republican-candidates-israel-gaza-hamas-ukraine-russia-china-taiwan
"Border Patrol sending migrants to unofficial camps in California's desert, locals say",1213597119,"November 21, 2023",News,True,"Locals say U.S. Border Patrol is delivering hundreds of migrants into a series of camps, one of which is on private property, in the border community of Jacumba in the Southern California desert. Overnight temperatures in the desert have begun to drop below freezing.",https://www.npr.org/2023/11/21/1213597119/border-patrol-migrants-unofficial-camps-jacumba-california-desert
"Houthi missiles strike commercial ships in Red Sea, while U.S. warship downs drones",1216851042,"December 3, 2023",News,False,"This image provided by the U.S. Navy shows the USS Carney in the Mediterranean Sea on Oct. 23, 2018. The Carney and several commercial ships came under fire in the Red Sea on Sunday, Dec. 3, 2023, the Pentagon said.",https://www.npr.org/2023/12/03/1216851042/pentagon-says-a-warship-and-commercial-ships-have-come-under-attack-in-the-red-s
Devendra Banhart searches for hope on 'Flying Wig',1214137142,"November 20, 2023",Podcasts & Shows,True,Devendra Banhart,https://www.npr.org/2023/11/20/1214137142/devendra-banhart-album-flying-wig
The sky is the limit for Rhiannon Giddens ,1213824050,"November 17, 2023",Podcasts & Shows,True,Rhiannon Giddens,https://www.npr.org/2023/11/17/1213824050/an-interview-with-rhiannon-giddens
"Growing 'farm to school' movement serves up fresh, local produce to kids",1208069226,"October 24, 2023",News,True,"Hanmei Hoffman and her husband Derrick Hoffman farm in Greeley, Colorado, where most of their produce is sold to schools. Here she's moving boxes of cucumbers from a refrigerated container and loading them onto a waiting truck to deliver them to schools along Colorado's Front Range.",https://www.npr.org/sections/health-shots/2023/10/24/1208069226/farm-to-school-local-kids-healthy-eating
"'No one wants kids dying in schools,' but Americans disagree on how to keep them safe",1208020283,"October 25, 2023",News,True,"Miami fire and rescue and police officers perform a rescue operation during an active shooter drill at Miami Senior High School in Miami, Fla.",https://www.npr.org/2023/10/25/1208020283/no-one-wants-kids-dying-in-schools-but-americans-disagree-on-how-to-keep-them-sa
"Scholastic backtracks, saying it will stop separating diverse books for fairs in 2024",1208419749,"October 25, 2023",News,False,Scholastic says it will stop offering the controversial collection of race- and gender-related titles at middle school book fairs starting in January.,https://www.npr.org/2023/10/25/1208419749/scholastic-book-fair-diverse-stories-apology
The rise of the four-day school week,1197954439,"October 25, 2023",News,True,"Right now, a lot of school districts across the country are making a pretty giant change to the way public education usually works. Facing teacher shortages and struggling to fill vacant spots, they are finding a new recruitment tool: the four-day school week.",https://www.npr.org/2023/10/25/1197954439/four-day-school-week-pros-and-cons
Afghan girls' education advocate is freed from Taliban prison,1208704097,"October 26, 2023",News,False,"KABUL, Afghanistan — The Taliban have freed an Afghan activist who campaigned for the",https://www.npr.org/2023/10/26/1208704097/afghanistan-taliban-girls-education-activist-matiullah-wesa-freed
Sean 'Diddy' Combs temporarily steps aside as chairman of Revolt TV network ,1215600691,"November 28, 2023",News,False,"Sean ""Diddy"" Combs has stepped down as chairman of Revolt, following multiple allegations against him of sexual assault. Here, Combs accepts the global icon award during the MTV Video Music Awards on Sept. 12 at the Prudential Center in Newark, N.J.",https://www.npr.org/2023/11/28/1215600691/sean-diddy-combs-temporarily-quits-chairman-revolt
"Texas abortion case heard before state's highest court, as more women join lawsuit",1215463289,2023-11-28,News,True,,https://www.npr.org/sections/health-shots/2023/11/28/1215463289/texas-abortion-lawsuit-texas-supreme-court
"In Michigan, #RestoreRoe abortion rights movement hits its limit in the legislature",11,2023-11-08,News,False,,https://www.npr.org/sections/health-shots/2023/11/08/1211347378/abortion-michigan-ohio-restrictions-rights
Abortion is on the ballot in Ohio. The results could signal what's ahead for 2024,1209593353,2023-10-31,News,True,,https://www.npr.org/2023/10/31/1209593353/abortion-ohio-issue-1-vote-election-roe-dobbs
Abortions resume in Wisconsin after 15 months of legal uncertainty,09,2023-09-21,News,False,,https://www.npr.org/sections/health-shots/2023/09/21/1200610927/abortions-resume-in-wisconsin-after-15-months-of-legal-uncertainty
Abortion access could continue to change in year 2 after the overturn of Roe v. Wade,1185849391,2023-07-03,News,True,,https://www.npr.org/sections/health-shots/2023/07/03/1185849391/abortion-access-could-continue-to-change-in-year-2-after-the-overturn-of-roe-v-w
"A year after Dobbs and the end of Roe v. Wade, there's chaos and confusion",1183639093,2023-06-24,News,False,,https://www.npr.org/2023/06/24/1183639093/abortion-ban-dobbs-roe-v-wade-anniversary-confusion
How many miles do you have to travel to get abortion care? One professor maps it,06,2023-06-21,News,False,,https://www.npr.org/sections/health-shots/2023/06/21/1183248911/abortion-access-distance-to-care-travel-miles
South Carolina is poised to renew its 6-week abortion ban,1177807878,2023-05-23,News,False,,https://www.npr.org/2023/05/23/1177807878/south-carolina-6-week-abortion-ban
Many Americans don't know basic abortion facts. Test your knowledge,01,2023-01-26,News,False,,https://www.npr.org/sections/health-shots/2023/01/26/1150346927/many-americans-dont-know-basic-abortion-facts-test-your-knowledge
Many ERs offer minimal care for miscarriage. One group wants that to change,01,2023-01-04,News,False,,https://www.npr.org/sections/health-shots/2023/01/04/1146801914/many-ers-offer-minimal-care-for-miscarriage-one-group-wants-that-to-change
The FDA finalizes rule expanding the availability of abortion pills,1146860433,2023-01-03,News,False,,https://www.npr.org/2023/01/03/1146860433/the-fda-finalizes-rule-expanding-the-availability-of-abortion-pills
Court rules doctors who provide abortions can't be prosecuted under Arizona law,1146437034,2022-12-30,News,False,,https://www.npr.org/2022/12/30/1146437034/abortion-ban-arizona-ruling-doctors-prosecution
"Bleeding and in pain, she couldn't get 2 Louisiana ERs to answer: Is it a miscarriage?",1143823727,2022-12-29,News,True,,https://www.npr.org/sections/health-shots/2022/12/29/1143823727/bleeding-and-in-pain-she-couldnt-get-2-louisiana-ers-to-answer-is-it-a-miscarria
Indiana's AG wants the doctor who spoke of 10-year-old's abortion to be penalized,1139950402,2022-11-30,News,False,,https://www.npr.org/2022/11/30/1139950402/indianas-ag-wants-the-doctor-who-spoke-of-10-year-olds-abortion-to-be-penalized
Georgia's highest court reinstates ban on abortions after 6 weeks,1139039767,2022-11-23,News,False,,https://www.npr.org/2022/11/23/1139039767/georgia-supreme-court-reinstates-abortion-ban
Doctors who want to defy abortion laws say it's too risky,1137756183,2022-11-23,News,False,,https://www.npr.org/sections/health-shots/2022/11/23/1137756183/doctors-who-want-to-defy-abortion-laws-say-its-too-risky
Judge overturns Georgia's ban on abortion around 6 weeks,1136968734,2022-11-15,News,False,,https://www.npr.org/2022/11/15/1136968734/georgia-abortion-ban-6-weeks-overturned
Her miscarriage left her bleeding profusely. An Ohio ER sent her home to wait,1135882310,2022-11-15,News,True,,https://www.npr.org/sections/health-shots/2022/11/15/1135882310/miscarriage-hemorrhage-abortion-law-ohio
California voters enshrine right to abortion and contraception in state constitution,1134833374,2022-11-09,News,False,,https://www.npr.org/2022/11/09/1134833374/california-results-abortion-contraception-amendment-midterms
"Inside a Michigan clinic, patients talk about abortion — and a looming statewide vote",11,2022-11-07,News,False,,https://www.npr.org/sections/health-shots/2022/11/07/1131353552/michigan-abortion-legal-ballot-clinic
"At 18 weeks pregnant, she faced an immense decision with just days to make it",1131410832,2022-10-27,News,True,,https://www.npr.org/sections/health-shots/2022/10/27/1131410832/abortion-law-exception-fetal-anomaly
Barnard College will offer abortion pills for students,1127321713,2022-10-07,News,False,,https://www.npr.org/2022/10/07/1127321713/barnard-college-offers-medication-abortion-pills-students
This teacher shortage solution has gone viral. But does it work?,1207073068,"October 26, 2023",News,True,School custodian Jenna Gros is teaching a group of fourth-graders how to convert fractions to decimals.,https://www.npr.org/2023/10/26/1207073068/grow-your-own-teacher-solution-research
